case,model,order,version,n,time_sec
1,2,10,2,310,0.3547464031726122
1,2,10,2,320,0.366205669939518
1,2,10,2,330,0.3785458179190755
1,2,10,2,340,0.3897179560735822
1,2,10,2,350,0.4008044982329011
1,2,10,2,360,0.41293203830718994
1,2,10,2,370,0.4249280169606209
1,2,10,2,380,0.43668137304484844
1,2,10,2,390,0.44775118585675955
1,2,10,2,400,0.4597365092486143
1,2,10,2,410,0.47053237399086356
1,2,10,2,420,0.4816559413447976
1,2,10,2,430,0.4924929551780224
1,2,10,2,440,0.5043683182448149
1,2,10,2,450,0.5160052496939898
1,2,10,2,460,0.5277435090392828
1,2,10,2,470,0.5390955619513988
1,2,10,2,480,0.5495291133411229
1,2,10,2,490,0.560036419890821
1,2,10,2,500,0.571402600966394
1,2,10,2,510,0.5832353308796883
1,2,10,2,520,0.5941580790095031
1,2,10,2,530,0.6063747359439731
1,2,10,2,540,0.6179833631031215
1,2,10,2,550,0.62998176086694
1,2,10,2,560,0.64072942500934
1,2,10,2,570,0.6520425099879503
1,2,10,2,580,0.6638372368179262
1,2,10,2,590,0.6778551726602018
1,2,12,1,20,0.023182726930826902
1,2,12,1,30,0.03468066081404686
1,2,12,1,40,0.0461457627825439
1,2,12,1,50,0.05763917788863182
1,2,12,1,60,0.06902075279504061
1,2,12,1,70,0.08041682420298457
1,2,12,1,80,0.0920482468791306
1,2,12,1,90,0.1039462760090828
1,2,12,1,100,0.1150737521238625
1,2,12,1,110,0.12718331906944513
1,2,12,1,120,0.13839028403162956
1,2,12,1,130,0.15028397226706147
1,2,12,1,140,0.16150860209017992
1,2,12,1,150,0.17303366400301456
1,2,12,1,160,0.18494991585612297
1,2,12,1,170,0.19629097497090697
1,2,12,1,180,0.20787819754332304
1,2,12,1,190,0.22010005731135607
1,2,12,1,200,0.23084215028211474
1,2,12,1,210,0.2427981118671596
1,2,12,1,220,0.2541900626383722
1,2,12,1,230,0.2659083758480847
1,2,12,1,240,0.2774385139346123
1,2,12,1,250,0.288518728222698
1,2,12,1,260,0.30089101288467646
1,2,12,1,270,0.31237693689763546
1,2,12,1,280,0.3234167159534991
1,2,12,1,290,0.3355612657032907
1,2,12,1,300,0.3466679151169956
1,2,12,1,310,0.35786089999601245
1,2,12,1,320,0.36921332497149706
1,2,12,1,330,0.3814584147185087
1,2,12,1,340,0.39289295487105846
1,2,12,1,350,0.40433761896565557
1,2,12,1,360,0.415765558835119
1,2,12,1,370,0.42772835213690996
1,2,12,1,380,0.4393883249722421
1,2,12,1,390,0.4508937317878008
1,2,12,1,400,0.4630344263277948
1,2,12,1,410,0.47459241282194853
1,2,12,1,420,0.48453771183267236
1,2,12,1,430,0.49702849285677075
1,2,12,1,440,0.5077502378262579
1,2,12,1,450,0.5187568101100624
1,2,12,1,460,0.5298335589468479
1,2,12,1,470,0.543939096853137
1,2,12,1,480,0.5549847362563014
1,2,12,1,490,0.5681418441236019
1,2,12,1,500,0.5783092533238232
1,2,12,1,510,0.5889964592643082
1,2,12,1,520,0.6000618599355221
1,2,12,1,530,0.6124968812800944
1,2,12,1,540,0.6218623830936849
1,2,12,1,550,0.6358395097777247
1,2,12,1,560,0.6468912470154464
1,2,12,1,570,0.6596833546645939
1,2,12,1,580,0.6711776959709823
1,2,12,1,590,0.6804253752343357
1,2,12,2,20,0.02295922115445137
